Unnamed: 0,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Rccovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population 2020,Yearly Change,Net Change,(P/Km²) Density,Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
32.0,Hungary,789188.0,1541.0,28403.0,106.0,553836.0,206949.0,445.0,81870.0,2947.0,5494198.0,569963.0,9660351.0,0.0,-24328.0,107.0,90530.0,6000.0,1.50,43,0.72,0.0012
160.0,Iceland,6506.0,6.0,29.0,,6347.0,130.0,5.0,18962.0,85.0,613017.0,1786628.0,341243.0,0.01,2212.0,3.0,100250.0,380.0,1.80,37,0.94,0.0
2.0,India,21640667.0,155382.0,235189.0,1118.0,17719749.0,3685729.0,8944.0,15553.0,169.0,298601699.0,214596.0,1380004385.0,0.01,13586631.0,464.0,2973190.0,-532687.0,2.20,28,0.35,0.177
18.0,Indonesia,1703632.0,6327.0,46663.0,167.0,1558423.0,98546.0,,6173.0,169.0,15099282.0,54715.0,273523615.0,0.01,2898047.0,151.0,1811570.0,-98955.0,2.30,30,0.56,0.0351
14.0,Iran,2627094.0,17076.0,74241.0,335.0,2074089.0,478764.0,5534.0,30944.0,874.0,16789338.0,197755.0,83992949.0,0.01,1079043.0,52.0,1628550.0,-55000.0,2.20,32,0.76,0.0108
24.0,Iraq,1103950.0,5763.0,15702.0,29.0,992423.0,95825.0,533.0,26938.0,383.0,9606567.0,234416.0,40222493.0,0.02,912710.0,93.0,434320.0,7834.0,3.70,21,0.73,0.0052
66.0,Ireland,251904.0,430.0,4921.0,,234404.0,12579.0,34.0,50539.0,987.0,4599866.0,922867.0,4937786.0,0.01,55291.0,72.0,68890.0,23604.0,1.80,38,0.63,0.0006
188.0,Isle of Man,1590.0,,29.0,,1549.0,12.0,1.0,18615.0,340.0,44761.0,524054.0,85033.0,0.01,449.0,149.0,570.0,,N.A.,N.A.,0.53,0.0
31.0,Israel,838850.0,22.0,6374.0,,831387.0,1089.0,85.0,91203.0,693.0,14346755.0,1559839.0,8655535.0,0.02,136158.0,400.0,21640.0,10000.0,3.00,30,0.93,0.0011
8.0,Italy,4092747.0,10554.0,122470.0,207.0,3572713.0,397564.0,2253.0,67776.0,2028.0,60532582.0,1002419.0,60461826.0,0.0,-88249.0,206.0,294140.0,148943.0,1.30,47,0.69,0.0078
108.0,Jamaica,46428.0,90.0,801.0,3.0,22018.0,23609.0,21.0,15621.0,270.0,340151.0,114448.0,2961167.0,0.0,12888.0,273.0,10830.0,-11332.0,2.00,31,0.55,0.0004
38.0,Japan,620994.0,4344.0,10589.0,72.0,546042.0,64363.0,1131.0,4923.0,84.0,12241999.0,97044.0,126476461.0,0.0,-383840.0,347.0,364555.0,71560.0,1.40,48,0.92,0.0162
34.0,Jordan,718632.0,702.0,9047.0,33.0,699460.0,10125.0,729.0,69847.0,879.0,6814404.0,662324.0,10203134.0,0.01,101440.0,115.0,88780.0,10220.0,2.80,24,0.91,0.0013
52.0,Kazakhstan,337652.0,2840.0,3858.0,25.0,291829.0,41965.0,221.0,17803.0,203.0,10455458.0,551269.0,18776707.0,0.01,225280.0,7.0,2699700.0,-18000.0,2.80,31,0.58,0.0024
80.0,Kenya,162098.0,,2850.0,,110480.0,48768.0,190.0,2960.0,52.0,1701385.0,31066.0,53771296.0,0.02,1197323.0,94.0,569140.0,-10000.0,3.50,20,0.28,0.0069
59.0,Kuwait,281772.0,,1621.0,,265530.0,14621.0,199.0,65168.0,375.0,2379181.0,550254.0,4270571.0,0.02,63488.0,240.0,17820.0,39520.0,2.10,37,N.A.,0.0005
92.0,Kyrgyzstan,97663.0,385.0,1643.0,3.0,90959.0,5061.0,70.0,14764.0,248.0,1017506.0,153822.0,6524195.0,0.02,108345.0,34.0,191800.0,-4000.0,3.00,26,0.36,0.0008
192.0,Laos,1205.0,28.0,,,122.0,1083.0,,164.0,,186954.0,25386.0,7275560.0,0.01,106105.0,32.0,230800.0,-14704.0,2.70,24,0.36,0.0009
87.0,Latvia,122545.0,1036.0,2197.0,19.0,111473.0,8875.0,81.0,65585.0,1176.0,2362996.0,1264657.0,1886198.0,-0.01,-20545.0,30.0,62200.0,-14837.0,1.70,44,0.69,0.0002
40.0,Lebanon,531234.0,,7415.0,,475383.0,48436.0,478.0,78128.0,1091.0,4069394.0,598482.0,6825445.0,0.0,-30268.0,667.0,10230.0,-30012.0,2.10,30,0.78,0.0009
153.0,Lesotho,10761.0,12.0,319.0,,6427.0,4015.0,,4990.0,148.0,83335.0,38642.0,2142249.0,0.01,16981.0,71.0,30360.0,-10047.0,3.20,24,0.31,0.0003
185.0,Liberia,2114.0,1.0,85.0,,1962.0,67.0,2.0,410.0,16.0,97875.0,18977.0,5057681.0,0.02,120307.0,53.0,96320.0,-5000.0,4.40,19,0.53,0.0006
78.0,Libya,179697.0,504.0,3063.0,4.0,165931.0,10703.0,,25855.0,441.0,972747.0,139962.0,6871292.0,0.01,93840.0,4.0,1759540.0,-1999.0,2.30,29,0.78,0.0009
178.0,Liechtenstein,2963.0,2.0,58.0,1.0,2858.0,47.0,5.0,77523.0,1517.0,39109.0,1023233.0,38128.0,0.0,109.0,238.0,160.0,,N.A.,N.A.,0.15,0.0
64.0,Lithuania,255384.0,1244.0,4019.0,15.0,229667.0,21698.0,186.0,94938.0,1494.0,2935816.0,1091380.0,2722289.0,-0.01,-37338.0,43.0,62674.0,-32780.0,1.70,45,0.71,0.0003
103.0,Luxembourg,68020.0,,801.0,,64727.0,2492.0,33.0,107193.0,1262.0,2702729.0,4259251.0,625978.0,0.02,10249.0,242.0,2590.0,9741.0,1.50,40,0.88,0.0001
209.0,Macao,49.0,,,,49.0,0.0,,75.0,,4483.0,6826.0,649335.0,0.01,8890.0,21645.0,30.0,5000.0,1.20,39,N.A.,0.0001
113.0,Madagascar,38641.0,304.0,701.0,6.0,35116.0,2824.0,351.0,1366.0,25.0,189996.0,6716.0,27691018.0,0.03,721711.0,48.0,581795.0,-1500.0,4.10,20,0.39,0.0036
115.0,Malawi,34151.0,,1152.0,,32135.0,864.0,11.0,1747.0,59.0,234732.0,12010.0,19129952.0,0.03,501205.0,203.0,94280.0,-16053.0,4.30,18,0.18,0.0025
42.0,Malaysia,432425.0,4498.0,1632.0,22.0,396004.0,34789.0,375.0,13218.0,50.0,9904314.0,302739.0,32365999.0,0.01,416222.0,99.0,328550.0,50000.0,2.00,30,0.78,0.0042
117.0,Maldives,33368.0,,77.0,,25675.0,7616.0,90.0,60829.0,140.0,749818.0,1366889.0,540544.0,0.02,9591.0,1802.0,300.0,11370.0,1.90,30,0.35,0.0001
136.0,Mali,14029.0,,493.0,,8878.0,4658.0,,676.0,24.0,259301.0,12503.0,20250833.0,0.03,592802.0,17.0,1220190.0,-40000.0,5.90,16,0.44,0.0026
118.0,Malta,30432.0,12.0,417.0,1.0,29763.0,252.0,,68767.0,942.0,879997.0,1988523.0,441543.0,0.0,1171.0,1380.0,320.0,900.0,1.50,43,0.93,0.0001
219.0,Marshall Islands,4.0,,,,4.0,0.0,,67.0,,,,59190.0,0.01,399.0,329.0,180.0,,N.A.,N.A.,0.70,0.0
131.0,Mauritania,18576.0,,456.0,,17817.0,303.0,14.0,3909.0,96.0,240124.0,50529.0,4649658.0,0.03,123962.0,5.0,1030700.0,5000.0,4.60,20,0.57,0.0006
191.0,Mauritius,1221.0,5.0,17.0,,1117.0,87.0,,959.0,13.0,358675.0,281633.0,1271768.0,0.0,2100.0,626.0,2030.0,0.0,1.40,37,0.41,0.0002
129.0,Mayotte,20134.0,,170.0,,2964.0,17000.0,4.0,72335.0,611.0,174251.0,626032.0,272815.0,0.03,6665.0,728.0,375.0,0.0,3.70,20,0.46,0.0
15.0,Mexico,2358831.0,2846.0,218173.0,166.0,1879713.0,260945.0,4798.0,18134.0,1677.0,6714852.0,51623.0,128932753.0,0.01,1357224.0,66.0,1943950.0,-60000.0,2.10,29,0.84,0.0165
222.0,Micronesia,1.0,,,,1.0,0.0,,9.0,,,,548914.0,0.01,5428.0,784.0,700.0,-2957.0,2.90,27,0.68,0.0001
65.0,Moldova,252153.0,,5912.0,,242363.0,3878.0,178.0,62631.0,1468.0,1007539.0,250257.0,4033963.0,0.0,-9300.0,123.0,32850.0,-1387.0,1.30,38,0.43,0.0005
180.0,Monaco,2475.0,,32.0,,2397.0,46.0,1.0,62695.0,811.0,51953.0,1316032.0,39242.0,0.01,278.0,26337.0,1.0,,N.A.,N.A.,N.A.,0.0
110.0,Mongolia,43201.0,737.0,153.0,11.0,28533.0,14515.0,123.0,13002.0,46.0,2762832.0,831489.0,3278290.0,0.02,53123.0,2.0,1553560.0,-852.0,2.90,28,0.67,0.0004
91.0,Montenegro,98042.0,,1526.0,,94495.0,2021.0,64.0,156085.0,2429.0,382259.0,608564.0,628066.0,0.0,79.0,47.0,13450.0,-480.0,1.80,39,0.68,0.0001
41.0,Morocco,513016.0,,9049.0,,499917.0,4050.0,150.0,13761.0,243.0,6311023.0,169289.0,36910560.0,0.01,438791.0,83.0,446300.0,-51419.0,2.40,30,0.64,0.0047
101.0,Mozambique,70138.0,30.0,820.0,1.0,67706.0,1612.0,38.0,2193.0,26.0,525385.0,16424.0,31255435.0,0.03,889399.0,40.0,786380.0,-5000.0,4.90,18,0.38,0.004
106.0,Namibia,49552.0,92.0,682.0,8.0,47146.0,1724.0,43.0,19209.0,264.0,397272.0,154003.0,2540905.0,0.02,46375.0,3.0,823290.0,-4806.0,3.40,22,0.55,0.0003
47.0,Nepal,377603.0,9023.0,3579.0,50.0,295395.0,78629.0,,12766.0,121.0,2598405.0,87850.0,29136808.0,0.02,528098.0,203.0,143350.0,41710.0,1.90,25,0.21,0.0037
21.0,Netherlands,1546070.0,7481.0,17290.0,22.0,1302085.0,226695.0,789.0,90061.0,1007.0,12762141.0,743413.0,17134872.0,0.0,37742.0,508.0,33720.0,16000.0,1.70,43,0.92,0.0022
179.0,New Zealand,2634.0,1.0,26.0,,2582.0,26.0,,527.0,5.0,2046919.0,409212.0,4822233.0,0.01,39170.0,18.0,263310.0,14881.0,1.90,38,0.87,0.0006
158.0,Nicaragua,6989.0,,183.0,,4225.0,2581.0,,1045.0,27.0,,,6624554.0,0.01,79052.0,55.0,120340.0,-21272.0,2.40,26,0.57,0.0008
164.0,Niger,5310.0,1.0,192.0,,4876.0,242.0,18.0,213.0,8.0,100105.0,4014.0,24206644.0,0.04,895929.0,19.0,1266700.0,4000.0,7.00,15,0.17,0.0031
