,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Rccovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop
210,Saint Kitts and Nevis,45.00,,,,44.00,1.00,,841.00,,13691.00,255825.00
167,Saint Lucia,4607.00,5.00,75.00,,4427.00,105.00,1.00,24992.00,407.00,41126.00,223102.00
187,Saint Martin,1773.00,,12.00,,1399.00,362.00,7.00,45205.00,306.00,27588.00,703399.00
213,Saint Pierre Miquelon,25.00,,,,25.00,0.00,,4333.00,,5318.00,921664.00
220,Samoa,3.00,,,,2.00,1.00,,15.00,,,
165,San Marino,5067.00,,90.00,,4935.00,42.00,4.00,149069.00,2648.00,61760.00,1816952.00
183,Sao Tome and Principe,2317.00,,35.00,,2258.00,24.00,,10410.00,157.00,12999.00,58400.00
43,Saudi Arabia,424445.00,1039.00,7045.00,13.00,407650.00,9750.00,1311.00,12034.00,200.00,17389803.00,493040.00
112,Senegal,40621.00,43.00,1116.00,,39316.00,189.00,10.00,2374.00,65.00,488257.00,28529.00
35,Serbia,698518.00,1277.00,6519.00,20.00,655869.00,36130.00,131.00,80220.00,749.00,3907936.00,448799.00
162,Seychelles,6373.00,,28.00,,5277.00,1068.00,,64464.00,283.00,21504.00,217515.00
170,Sierra Leone,4068.00,,79.00,,3078.00,911.00,,501.00,10.00,153257.00,18889.00
105,Singapore,61311.00,25.00,31.00,,60906.00,374.00,2.00,10411.00,5.00,9906797.00,1682196.00
184,Sint Maarten,2250.00,3.00,27.00,,2197.00,26.00,2.00,51979.00,624.00,26359.00,608936.00
46,Slovakia,385022.00,362.00,11946.00,26.00,366715.00,6361.00,264.00,70493.00,2187.00,2704901.00,495233.00
67,Slovenia,245159.00,606.00,4285.00,3.00,231559.00,9315.00,142.00,117911.00,2061.00,1199033.00,576686.00
215,Solomon Islands,20.00,,,,20.00,0.00,,29.00,,4500.00,6419.00
135,Somalia,14368.00,,745.00,,6152.00,7471.00,,883.00,46.00,117534.00,7226.00
20,South Africa,1590370.00,,54620.00,,1511905.00,23845.00,546.00,26533.00,911.00,10805804.00,180279.00
84,South Korea,126044.00,525.00,1860.00,9.00,116022.00,8162.00,162.00,2457.00,36.00,9051354.00,176417.00
155,South Sudan,10637.00,17.00,115.00,,10312.00,210.00,,941.00,10.00,155471.00,13753.00
9,Spain,3559222.00,,78726.00,,3239382.00,241114.00,2212.00,76100.00,1683.00,47213067.00,1009471.00
88,Sri Lanka,121338.00,1914.00,745.00,,101763.00,18830.00,,5646.00,35.00,2849991.00,132624.00
195,St. Barth,974.00,,1.00,,462.00,511.00,,98364.00,101.00,26385.00,2664613.00
186,St. Vincent Grenadines,1895.00,6.00,12.00,,1741.00,142.00,2.00,17036.00,108.00,45888.00,412521.00
116,Sudan,33648.00,,2365.00,,27247.00,4036.00,,753.00,53.00,232965.00,5211.00
151,Suriname,10816.00,,213.00,,9656.00,947.00,26.00,18299.00,360.00,52395.00,88644.00
27,Sweden,1007792.00,,14173.00,36.00,835458.00,158161.00,403.00,99266.00,1396.00,8798383.00,866624.00
